FIRST_NAME,FULL_NAME,LAST_NAME,PLAYER_ID
Bob,Bob Carrington,Carrington,76352
DeMarre,DeMarre Carroll,Carroll,201960
Joe Barry,Joe Barry Carroll,Carroll,76353
Matt,Matt Carroll,Carroll,2679
Jimmy,Jimmy Carruth,Carruth,1131
Anthony,Anthony Carter,Carter,1853
Butch,Butch Carter,Carter,76355
Fred,Fred Carter,Carter,76356
George,George Carter,Carter,76357
Howard,Howard Carter,Carter,76358
Jake,Jake Carter,Carter,76359
Jevon,Jevon Carter,Carter,1628975
Maurice,Maurice Carter,Carter,2466
Reggie,Reggie Carter,Carter,76360
Ron,Ron Carter,Carter,76361
Vince,Vince Carter,Carter,1713
Wendell,Wendell Carter Jr.,Carter Jr.,1628976
Michael,Michael Carter-Williams,Carter-Williams,203487
Bill,Bill Cartwright,Cartwright,76362
Jay,Jay Carty,Carty,76363
Alex,Alex Caruso,Caruso,1627936
Cornelius,Cornelius Cash,Cash,76364
Sam,Sam Cassell,Cassell,208
Omri,Omri Casspi,Casspi,201956
Harvey,Harvey Catchings,Catchings,76365
Terry,Terry Catledge,Catledge,767
Sid,Sid Catlett,Catlett,76367
Kelvin,Kelvin Cato,Cato,1509
Bobby,Bobby Cattage,Cattage,76368
Willie,Willie Cauley-Stein,Cauley-Stein,1626161
Troy,Troy Caupain,Caupain,1628505
Duane,Duane Causwell,Causwell,190
Tyler,Tyler Cavanaugh,Cavanaugh,1628463
Ron,Ron Cavenall,Cavenall,76370
Cedric,Cedric Ceballos,Ceballos,76
John,John Celestand,Celestand,1911
Al,Al Cervi,Cervi,76373
Lionel,Lionel Chalmers,Chalmers,2763
Mario,Mario Chalmers,Chalmers,201596
Bill,Bill Chamberlain,Chamberlain,76374
Wilt,Wilt Chamberlain,Chamberlain,76375
Jerry,Jerry Chambers,Chambers,76376
Tom,Tom Chambers,Chambers,1472
Mike,Mike Champion,Champion,76378
Tyson,Tyson Chandler,Chandler,2199
Wilson,Wilson Chandler,Chandler,201163
Don,Don Chaney,Chaney,76379
