STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
878,76522,0,0,286,0,3711,579,1265,0.457707,0,0,0,320,380,0.842105,182,392,800,295,76,16,0,363,1478
879,1023,0,0,226,62,3935,402,1020,0.394117,156,443,0.352144,140,178,0.786516,79,361,440,396,167,29,267,344,1100
880,201175,0,0,514,121,10866,1614,3611,0.446967,10,55,0.181818,873,1247,0.70008,731,1505,2236,457,357,173,528,1238,4111
881,76523,0,0,44,0,424,72,165,0.436363,0,0,0,31,45,0.688888,29,43,72,16,14,8,26,74,175
882,93,0,0,685,149,15140,2108,4600,0.45826,728,1651,0.440944,639,763,0.837483,209,836,1045,1172,297,44,646,1011,5583
883,76524,0,0,3,0,16,0,6,0,0,0,0,2,2,1,0,4,4,1,0,0,0,2,2
884,76525,0,0,597,0,10027,1518,3291,0.461257,0,0,0,961,1425,0.674385,198,380,3109,739,89,66,0,1463,3997
885,76526,0,0,750,484,21200,3699,8258,0.447929,33,187,0.176470588235294,2279,2777,0.820669,560,945,1505,3368,683,116,1398,1469,9710
886,2668,0,0,67,6,497,56,150,0.373333,23,70,0.328571,21,29,0.724137,49,66,115,19,17,5,21,70,156
887,707,0,0,230,37,3685,473,1071,0.441643,28,114,0.245614,287,438,0.655251,291,406,697,294,200,75,324,481,1261
888,76528,0,0,33,0,258,49,102,0.480392,1,10,0.1,28,34,0.823529,16,21,37,14,13,5,12,39,127
889,76529,0,0,190,0,2572,431,1147,0.375762,0,0,0,146,206,0.708737,228,588,816,164,66,22,0,327,1008
890,76530,0,0,8,0,28,4,10,0.4,0,0,0,6,10,0.6,3,7,10,0,0,4,0,4,14
891,76531,0,0,204,0,4298,840,1979,0.424456,0,0,0,509,659,0.772382,0,470,470,365,0,0,0,580,2189
892,76520,0,0,2,0,10,1,5,0.2,0,0,0,1,5,0.2,2,2,4,0,0,1,0,0,3
893,200781,0,0,82,2,701,88,219,0.401826,0,1,0,41,56,0.732142,74,84,158,32,22,15,30,105,217
894,76532,0,0,150,0,3202,545,1332,0.409159,0,0,0,105,155,0.677419,0,248,248,424,0,0,0,314,1195
895,1729,0,0,736,344,21926,3747,8410,0.445541,583,1614,0.361214,1835,2349,0.781183,566,1984,2550,2426,732,187,1606,1430,9912
896,76534,0,0,78,0,951,157,374,0.419786,2,8,0.25,101,177,0.570621,56,83,139,53,43,11,66,115,417
897,426,0,0,480,275,10366,1202,2545,0.472298,3,19,0.157894,654,1081,0.604995,1106,1781,2887,273,183,149,518,1176,3061
898,76536,0,0,325,0,5344,623,1651,0.377347,0,0,0,312,449,0.694877,0,1397,1397,231,0,0,0,915,1558
899,1453,0,0,1033,682,28859,8118,15871,0.511498,157,577,0.27209705372617,3128,3676,0.850924,889,2164,3053,3878,1280,133,2541,2454,19521
900,203958,0,0,4,0,22,1,6,0.166666,1,6,0.166666,0,0,0,0,2,2,1,0,0,1,3,3
901,76539,0,0,726,412,17235,3477,6079,0.571969,2,15,0.133333333333333,1777,2593,0.685306,1125,3307,4432,917,345,1023,1621,2784,8733
902,1008,0,0,541,303,14859,2361,5175,0.456231,180,545,0.330275,1082,1262,0.857369,333,1003,1336,2997,618,29,1108,837,5984
903,76541,0,0,57,0,776,141,300,0.47,1,5,0.2,33,48,0.6875,42,83,125,77,33,9,76,112,316
