RK,FULL_NAME,TWITTER_ACC
536,Derrick Jones\jonesde02,TheRea1DJones
537,Matt Jones\jonesma04,matt13jones_
538,Perry Jones\jonespe01,Perry_Jones1
539,Shawn Jones\jonessh02,Slim_j12
540,Terrence Jones\joneste01,TerrenceJones1
541,Tyus Jones\jonesty01,1Tyus
542,DeAndre Jordan\jordade01,DeAndre
543,Cory Joseph\josepco01,Cory_Joe
544,Kris Joseph\josepkr01,RealKrisJo
545,Chris Kaman\kamanch01,ChrisKaman
546,Frank Kaminsky\kaminfr01,FSKPart3
547,Enes Kanter\kanteen01,Enes_Kanter
548,Ilkan Karaman\karamil01,ilknkrmn
549,Arsalan Kazemi\kazemar01,kazemiworld
550,Tidjan Keita\keitati01,Ktidjan
551,Ryan Kelly\kellyry01,RyanKelly34
552,Greg Kelser\kelsegr01,gkelser32
553,Luke Kennard\kennalu01,LukeKennard5
554,Steve Kerr\kerrst01,SteveKerr
555,Jason Kidd\kiddja01,RealJasonKidd
556,Michael Kidd-Gilchrist\kiddgmi01,MKG14
557,Sean Kilpatrick\kilpase01,SeanKilpatrick
558,Nick King\kingni01,CrownMeKing5_
559,Maxi Kleber\klebima01,MaxiKleber
560,Brandon Knight\knighbr03,Goodknight11
561,Kevin Knox\knoxke01,KevKnox
562,Furkan Korkmaz\korkmfu01,FurkanKorkmaz
563,Kyle Korver\korveky01,KyleKorver
564,Kosta Koufos\koufoko01,kostakoufos
565,Arnoldas Kulboka\kulboar01,kulboka98
566,Kyle Kuric\kuricky01,KIngKK_14
567,Rodions Kurucs\kurucro01,RODIONS1
568,Kyle Kuzma\kuzmaky01,kylekuzma
569,Mindaugas Kuzminskas\kuzmimi01,MKuzminskas
570,Skal Labissiere\labissk01,OneBigHaitian
571,Cady Lalanne\lalanca01,Lac25_
572,Doron Lamb\lambdo01,DLamb20
573,Shane Larkin\larkish01,ShaneLarkin_3
574,Terry Larrier\larrite01,_TL22
575,Joffrey Lauvergne\lauvejo01,1JOLOLO
576,Zach LaVine\lavinza01,ZachLaVine
577,Ty Lawson\lawsoty01,TyLawson3
578,Jake Layman\laymaja01,JLayman10
